y	running_acct	duration	payment	purpose	marital_and_gender	current_employ	age
0	4	36	4	0	2	3	25
0	4	18	2	3	2	1	22
0	4	36	3	9	1	2	28
0	2	24	1	6	2	4	34
0	2	30	4	0	4	1	28
0	2	30	4	0	4	1	28
0	1	48	2	3	2	3	31
0	1	9	2	3	2	2	22
0	1	24	1	10	3	5	40
0	1	18	2	2	3	1	25
0	3	9	0	3	3	2	34
0	1	48	2	0	3	5	42
0	2	15	1	0	4	3	25
0	2	15	2	0	2	3	28
0	2	48	2	0	3	4	24
0	1	24	2	0	2	2	27
0	1	36	4	6	2	3	25
0	1	24	2	3	2	2	35
0	2	36	2	2	3	2	29
0	2	60	2	0	3	4	27
0	1	36	4	1	3	4	24
0	2	12	2	3	4	3	25
0	1	18	2	2	2	1	33
0	2	24	3	2	2	1	34
0	2	18	2	1	2	1	38
0	4	21	3	9	3	2	41
0	4	27	2	0	2	3	21
0	2	27	2	9	3	3	36
0	4	10	2	0	3	3	27
0	1	24	2	0	3	4	31
0	1	12	2	0	3	2	33
0	2	36	3	0	3	5	57
0	1	18	2	2	3	3	42
0	1	18	0	2	2	2	26
0	1	18	4	2	2	3	24
0	1	18	1	2	3	3	44
0	1	30	2	2	2	4	23
0	1	24	3	0	3	1	43
0	1	48	0	2	3	3	53
0	1	24	3	0	3	3	53
0	1	12	4	0	3	5	35
0	1	42	3	3	3	4	26
0	1	36	1	2	3	5	31
0	1	24	0	2	3	5	23
0	1	18	2	2	3	3	22
0	1	12	2	2	2	3	20
0	2	12	0	2	2	2	25
0	1	48	0	1	3	5	24
0	1	48	4	1	3	5	46
0	1	24	1	2	3	4	27
0	1	12	1	0	3	2	46
0	1	24	2	0	2	4	23
0	1	27	0	9	3	1	50
0	1	21	3	6	3	2	26
0	1	18	2	2	2	3	20
0	1	24	1	9	3	3	31
0	1	12	2	8	4	4	21
0	1	48	2	1	3	4	39
0	2	48	0	9	3	3	25
0	2	18	4	0	3	5	30
0	1	12	2	0	2	2	37
0	2	12	2	0	1	5	46
0	1	12	2	0	1	4	36
0	1	16	4	0	3	5	43
0	1	20	4	0	4	3	33
0	2	9	2	2	2	3	29
0	2	18	4	0	3	5	36
0	2	24	2	0	3	2	23
0	2	36	3	0	3	5	42
0	4	48	4	0	3	3	44
0	2	12	2	0	3	5	41
0	4	12	2	6	3	5	41
0	2	36	2	0	3	3	37
0	1	12	2	3	3	5	57
0	2	15	1	0	3	1	34
0	4	10	2	2	3	3	25
0	4	30	1	1	2	1	53
0	1	18	1	0	3	4	32
0	4	12	4	3	2	5	33
0	2	45	4	3	3	2	24
0	3	12	4	0	4	4	28
0	2	21	2	9	2	5	39
0	4	48	4	1	2	3	24
0	3	12	1	9	2	2	26
0	1	18	4	5	2	1	55
0	2	21	2	9	1	5	61
0	2	30	2	2	2	3	21
0	2	30	0	9	2	3	26
0	2	24	2	3	4	2	22
0	4	18	2	0	3	3	68
0	2	12	2	3	3	2	22
0	2	54	0	9	3	2	58
0	1	24	2	2	2	2	23
0	2	15	2	3	3	5	37
0	2	48	2	2	2	2	26
0	4	24	3	9	3	2	27
0	1	18	2	3	4	3	26
0	1	45	2	3	3	3	23
0	1	21	1	0	3	3	40
0	4	48	2	9	3	1	33
0	2	27	0	9	2	5	42
0	3	18	2	3	3	3	37
0	1	45	0	9	3	5	29
0	1	6	2	6	2	2	23
0	1	30	2	5	1	2	34
0	2	48	0	10	2	3	32
0	1	6	2	0	3	5	68
0	2	12	2	2	2	5	25
0	1	12	2	1	3	5	35
0	2	24	2	3	4	2	22
0	4	18	3	9	4	3	28
0	2	48	4	2	2	3	30
0	1	18	2	3	2	3	25
0	1	48	2	3	4	4	34
0	4	12	4	9	3	1	42
0	1	14	2	0	1	5	45
0	1	12	2	3	4	4	20
0	1	18	2	0	2	2	23
0	2	24	2	0	2	3	20
0	1	18	2	6	2	1	27
0	2	24	2	1	2	5	44
0	1	18	2	1	3	5	51
0	1	18	4	0	2	5	33
0	1	12	0	3	3	3	28
0	1	24	2	3	3	3	21
0	1	24	2	0	3	5	45
0	4	21	4	0	3	5	30
0	2	12	2	3	3	1	52
0	1	30	2	2	3	5	31
